"","Feature","ShapiroPvalue","Mean0","Mean1","WilcoxPvalue"
"1","modelscore",1.68565179555797e-60,0.263775385104018,0.260800259590424,0.000133270154836926
"2","external_length_in",3.50310229740172e-74,186.837455137367,188.580184597635,0.0714393804152763
"3","external_width_in",2.6198168857259e-82,70.5956534857869,71.184871646957,0.995064466966508
"4","external_height_in",4.83076196389079e-68,61.2938962998253,61.9720074992789,0.000855892830979231
"5","external_vehicleage",9.05730116933821e-37,9.39845958392885,8.51975771560427,1.34322998728114e-22
"6","vehicleage",2.75250168090058e-36,9.40038113387327,8.5240842226709,1.4797108861539e-22
"7","ratingvalue",1.72970262093433e-44,11.1689534699063,11.8156907989616,6.27822762876177e-28
"8","estimatedannualdistance",1.78051934555549e-55,9382.75819437828,9226.34741851745,0.488672973101392
"9","odometerreading",1.2542351986197e-70,66316.1772193108,56957.5591289299,1.76905456608449e-20
"10","daysperweekdriven",1.68946867869761e-71,2.41074321105288,2.33213152581483,0.00800717458565501
"11","driverage",5.11565124871849e-22,49.8410512942671,53.0220651860398,8.31119142507134e-42
"12","havelicenseage",2.22228547710886e-84,17.0588693028426,17.2554081338333,1.17907055913232e-08
"13","mvrstatusage",2.55037916039969e-70,0.459369541051294,0.570810498990482,1.44298098635773e-30
"14","vehnumber",2.87842880135301e-62,9.40028585040495,8.12460340351889,6.56880727743405e-36
"15","drivernumber",8.82363136804403e-71,6.17175639193267,4.88808768387655,6.6607850749003e-69
"16","viol_pointschargedterm",2.17899143582733e-90,1.08033190408131,1.0860974906259,0.00380951848864015
"17","acci_pointschargedterm",3.02684895720466e-88,1.08147530570113,1.10729737525238,1.59604648437277e-15
"18","viol_driverpointsnumbercountterm",1.47112546134973e-90,1.2316182309036,1.2644937986732,2.39582775155013e-05
"19","acci_driverpointsnumbercountterm",1.87086182951758e-86,1.10633635064316,1.14479376982982,2.01967662961821e-18
"20","viol_infractioncdcountterm",4.1971085271635e-88,1.139820549468,1.15878280934526,1.81866540442107e-05
"21","acci_infractioncdcountterm",3.05922850233691e-87,1.0993727171669,1.13282376694549,6.36869205122178e-19
"22","viol_last_infractionage",7.32477375322947e-88,2.56223598538987,2.73565041822902,4.7489171335525e-07
"23","acci_last_infractionage",6.59456048466524e-88,2.19733206288709,2.30847995385059,2.92876041240534e-24
"24","viol_last_convictionage",1.93394208881448e-87,2.16125138955058,2.2148831843092,1.83743387851654e-07
"25","acci_last_convictionage",8.26461159996402e-92,1.08039542639352,1.15027401211422,1.46386584202154e-23
"26","external_engine",3.41279048271639e-42,23.7981022709227,23.6035477357946,0.375492472106897
"27","enginesize",1.02334544459289e-63,11.658678735906,10.4475050475916,1.06512465911151e-15
"28","enginehorsepower",3.10212909856663e-66,52.259877719549,45.2931929622152,4.65433452572499e-19
